study_id,reviewer_id,open_codes,axial_codes,final_codes,notes
S01,R1,"model opacity, high computational cost","Methodological Opacity, Deployment Discontinuity","Methodological Opacity, Deployment Discontinuity",
S01,R2,"high latency, large memory footprint","Deployment Discontinuity","Deployment Discontinuity","Agreed with R1"
S02,R1,"semantic gap, LLM cost","Semantic Misalignment, Methodological Opacity","Semantic Misalignment","Resolved: cost is part of opacity"
S02,R2,"ontology limitations, extraction accuracy","Semantic Misalignment","Semantic Misalignment","High agreement with R1"
S03,R1,"healthcare specificity, regulatory focus","Healthcare Specificity, Regulatory Embedding","Healthcare Specificity, Regulatory Embedding",
S03,R2,"clinical context, HIPAA compliance","Healthcare Specificity, Regulatory Embedding","Healthcare Specificity, Regulatory Embedding","Strong healthcare focus noted"
S04,R1,"GDPR compliance, multi-framework","Regulatory Embedding","Regulatory Embedding","Explicit regulatory mechanisms"
S04,R2,"compliance automation, audit trails","Regulatory Embedding, Methodological Transparency","Regulatory Embedding","Added transparency aspect"
S05,R1,"edge deployment, resource constraints","Operational Readiness","Operational Readiness","Direct edge evaluation"
S05,R2,"clinical hardware, performance metrics","Operational Readiness","Operational Readiness","Quantified deployment metrics"
S06,R1,"explainability focus, XAI methods","Methodological Transparency","Methodological Transparency","XAI as primary contribution"
S06,R2,"interpretability, model reasoning","Methodological Transparency","Methodological Transparency","Clear explainability emphasis"
S07,R1,"regulatory framework, evidence standards","Regulatory Embedding, Validation Rigour","Regulatory Embedding, Validation Rigour",
S07,R2,"compliance standards, validation protocols","Regulatory Embedding, Validation Rigour","Regulatory Embedding, Validation Rigour","Framework for AI standards"
S08,R1,"multimodal fusion, feature integration","Methodological Paradigm","Methodological Paradigm","Advanced fusion techniques"
S08,R2,"cross-modal integration, architectural design","Methodological Paradigm","Methodological Paradigm","Sophisticated architecture"
S09,R1,"real-time performance, statistical methods","Operational Readiness, Methodological Paradigm","Operational Readiness, Methodological Paradigm",
S09,R2,"latency optimization, efficiency","Operational Readiness","Operational Readiness","Performance focus"
S10,R1,"correlation analysis, intelligence assessment","Methodological Paradigm","Methodological Paradigm","Analytical approach"
S10,R2,"threat correlation, assessment methods","Methodological Paradigm","Methodological Paradigm","Intelligence correlation"
S11,R1,"NLP healthcare applications, GDPR compliance","Healthcare Specificity, Regulatory Embedding","Healthcare Specificity, Regulatory Embedding",
S11,R2,"clinical NLP, regulatory alignment","Healthcare Specificity, Regulatory Embedding","Healthcare Specificity, Regulatory Embedding","Domain-specific NLP"
S12,R1,"survey synthesis, mining perspectives","Methodological Paradigm","Methodological Paradigm","Comprehensive review"
S12,R2,"literature synthesis, research directions","Methodological Paradigm","Methodological Paradigm","Survey methodology"
S13,R1,"organizational resilience, systematic review","Methodological Paradigm","Methodological Paradigm","Resilience focus"
S13,R2,"cybersecurity resilience, literature analysis","Methodological Paradigm","Methodological Paradigm","Systematic approach"
S14,R1,"quality metrics, assessment methodology","Methodological Paradigm","Methodological Paradigm","Metrics development"
S14,R2,"evaluation framework, quality assessment","Methodological Paradigm","Methodological Paradigm","Quality focus"
S15,R1,"dynamic assessment, DSPT compliance","Operational Readiness, Regulatory Embedding","Operational Readiness, Regulatory Embedding",
S15,R2,"NHS integration, real-time assessment","Healthcare Specificity, Operational Readiness","Healthcare Specificity, Operational Readiness","NHS context"
S16,R1,"pipeline architecture, AI enhancement","Methodological Paradigm","Methodological Paradigm","Pipeline design"
S16,R2,"processing pipeline, automation","Methodological Paradigm","Methodological Paradigm","Architectural approach"
S17,R1,"knowledge graph quality, embedding models","Methodological Paradigm","Methodological Paradigm","KG quality focus"
S17,R2,"graph quality, adaptive methods","Methodological Paradigm","Methodological Paradigm","Quality optimization"
S18,R1,"policy measures, HIPAA focus","Regulatory Embedding, Healthcare Specificity","Regulatory Embedding, Healthcare Specificity",
S18,R2,"regulatory policy, healthcare security","Regulatory Embedding, Healthcare Specificity","Regulatory Embedding, Healthcare Specificity","Policy perspective"
S19,R1,"proactive forecasting, holistic approach","Methodological Paradigm","Methodological Paradigm","Forecasting methodology"
S19,R2,"threat prediction, comprehensive analysis","Methodological Paradigm","Methodological Paradigm","Predictive approach"
S20,R1,"adversarial learning, contrastive methods","Methodological Paradigm","Methodological Paradigm","Advanced ML techniques"
S20,R2,"semi-supervised, generative models","Methodological Paradigm","Methodological Paradigm","ML innovation"
S21,R1,"risk prediction, CVE analysis","Methodological Paradigm","Methodological Paradigm","Risk modeling"
S21,R2,"vulnerability prediction, statistical models","Methodological Paradigm","Methodological Paradigm","Prediction focus"
S22,R1,"biomedical fusion, systematic review","Healthcare Specificity, Methodological Paradigm","Healthcare Specificity, Methodological Paradigm",
S22,R2,"medical multimodal, fusion techniques","Healthcare Specificity, Methodological Paradigm","Healthcare Specificity, Methodological Paradigm","Biomedical context"
S23,R1,"provenance graphs, empirical evaluation","Methodological Paradigm","Methodological Paradigm","Graph-based evaluation"
S23,R2,"graph analysis, empirical validation","Methodological Paradigm","Methodological Paradigm","Empirical focus"
S24,R1,"actionable intelligence, trigger mechanisms","Methodological Paradigm","Methodological Paradigm","Operational intelligence"
S24,R2,"discovery system, actionable outputs","Methodological Paradigm","Methodological Paradigm","Practical focus"
S25,R1,"unstructured mapping, experimental study","Methodological Paradigm, Healthcare Specificity","Methodological Paradigm, Healthcare Specificity",
S25,R2,"experimental validation, healthcare context","Methodological Paradigm, Healthcare Specificity","Methodological Paradigm, Healthcare Specificity","Experimental approach"
S26,R1,"APT attribution, knowledge graph","Methodological Paradigm","Methodological Paradigm","Attribution focus"
S26,R2,"threat attribution, graph methods","Methodological Paradigm","Methodological Paradigm","KG for attribution"
S27,R1,"active learning, IOC extraction","Methodological Paradigm","Methodological Paradigm","Learning techniques"
S27,R2,"semi-supervised, indicator extraction","Methodological Paradigm","Methodological Paradigm","Extraction methods"
S28,R1,"AI-powered detection, network security","Methodological Paradigm","Methodological Paradigm","Detection system"
S28,R2,"threat detection, AI implementation","Methodological Paradigm","Methodological Paradigm","AI deployment"
S29,R1,"dynamic prediction, graph learning","Methodological Paradigm, Healthcare Specificity","Methodological Paradigm, Healthcare Specificity",
S29,R2,"heterogeneous graphs, NHS integration","Methodological Paradigm, Healthcare Specificity","Methodological Paradigm, Healthcare Specificity","NHS context noted"
S30,R1,"PCA-DNN, anomaly detection","Methodological Paradigm","Methodological Paradigm","Hybrid methods"
S30,R2,"dimensionality reduction, deep learning","Methodological Paradigm","Methodological Paradigm","Combined approaches"
S31,R1,"heterogeneous networks, modeling","Methodological Paradigm","Methodological Paradigm","Network modeling"
S31,R2,"information networks, identification","Methodological Paradigm","Methodological Paradigm","Network analysis"
S32,R1,"graph convolutional networks, modeling","Methodological Paradigm","Methodological Paradigm","GCN approach"
S32,R2,"convolutional graphs, threat modeling","Methodological Paradigm","Methodological Paradigm","Graph neural networks"
S33,R1,"XAI concepts, responsible AI","Methodological Transparency","Methodological Transparency","XAI foundation"
S33,R2,"explainability taxonomies, AI ethics","Methodological Transparency","Methodological Transparency","Ethical dimensions"
S34,R1,"threat landscape, AI survey","Methodological Paradigm","Methodological Paradigm","Landscape analysis"
S34,R2,"AI cybersecurity, comprehensive survey","Methodological Paradigm","Methodological Paradigm","Survey methodology"
S35,R1,"AI capabilities, cybersecurity improvement","Methodological Paradigm","Methodological Paradigm","Capability focus"
S35,R2,"AI applications, security enhancement","Methodological Paradigm","Methodological Paradigm","Application oriented"
S36,R1,"AI survey, cybersecurity overview","Methodological Paradigm","Methodological Paradigm","Overview study"
S36,R2,"comprehensive survey, AI in security","Methodological Paradigm","Methodological Paradigm","Broad coverage"
S37,R1,"COVID-19 challenges, healthcare security","Healthcare Specificity","Healthcare Specificity","Pandemic context"
S37,R2,"healthcare challenges, pandemic response","Healthcare Specificity","Healthcare Specificity","Contextual focus"
S38,R1,"incident response, comparative study","Methodological Paradigm","Methodological Paradigm","Response focus"
S38,R2,"response perspective, comparison","Methodological Paradigm","Methodological Paradigm","Comparative analysis"
S39,R1,"AI security threats, countermeasures","Methodological Paradigm","Methodological Paradigm","Security perspective"
S39,R2,"threats and defenses, AI security","Methodological Paradigm","Methodological Paradigm","Defensive focus"
S40,R1,"AI advances, cybersecurity challenges","Methodological Paradigm","Methodological Paradigm","Research directions"
S40,R2,"advances and challenges, AI in security","Methodological Paradigm","Methodological Paradigm","State-of-art"
S41,R1,"systematic mapping, literature analysis","Methodological Paradigm","Methodological Paradigm","Mapping study"
S41,R2,"literature mapping, comprehensive","Methodological Paradigm","Methodological Paradigm","Systematic mapping"
S42,R1,"security assurance, systematic review","Methodological Paradigm","Methodological Paradigm","Assurance focus"
S42,R2,"system assurance, review methodology","Methodological Paradigm","Methodological Paradigm","Review approach"
S43,R1,"machine learning pitfalls, methodology","Methodological Transparency","Methodological Transparency","Methodological guidance"
S43,R2,"ML best practices, avoidance of errors","Methodological Transparency","Methodological Transparency","Practical guidance"
